Name,Year,Country,Countries,Category,Gender,Details
Gerhard Herzberg,1971,Germany,"Canada, Germany",Chemistry,Man,
Gerhart Hauptmann,1912,Germany,Germany,Literature,Man," born in Prussia,  now Poland"
Gertrude B. Elion,1988,United States,United States,Physiology or Medicine,Woman,
Gerty Cori,1947,Czech Republic,Czech Republic,Physiology or Medicine,Woman,"Born in the Austrian Empire (now Czech Republic), worked in the US"
Gerty Cori,1947,United States,"Czech Republic, United States",Physiology or Medicine,Woman,"Born in the Austrian Empire (now Czech Republic), worked in the US"
Giorgos Seferis,1963,Greece,Greece,Literature,Man,
Giosuè Carducci,1906,Italy,Italy,Literature,Man,
Giulio Natta,1963,Italy,Italy,Chemistry,Man,
Glenn Theodore Seaborg,1951,United States,United States,Chemistry,Man,
Godfrey Hounsfield,1979,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Grameen Bank,2006,Bangladesh,Bangladesh,Peace,Organization,
Grazia Deledda,1926,Italy,Italy,Literature,Woman,
Greg Winter,2018,United Kingdom,United Kingdom,Chemistry,Man,
Gregg L. Semenza,2019,United States,United States,Physiology or Medicine,Man,
Guglielmo Marconi,1909,Italy,Italy,Physics,Man,
Gunnar Myrdal,1974,Sweden,Sweden,Economics,Man,
Günter Blobel,1999,Germany,Germany,Physiology or Medicine,Man,
Günter Blobel,1999,United States,"Germany, United States",Physiology or Medicine,Man," born in then Germany,  now Poland"
Günter Grass,1999,Germany,Germany,Literature,Man," born in Free City of Danzig,  now Poland"
Gustaf Dalén,1912,Sweden,Sweden,Physics,Man,
Gustav Ludwig Hertz,1925,Germany,Germany,Physics,Man,
Gustav Stresemann,1926,Germany,Germany,Peace,Man,
H. David Politzer,2004,United States,United States,Physics,Man,
H. Robert Horvitz,2002,United States,United States,Physiology or Medicine,Man,
Haldan Keffer Hartline,1967,United States,United States,Physiology or Medicine,Man,
Halldór Laxness,1955,Iceland,Iceland,Literature,Man,
Hamilton O. Smith,1978,United States,United States,Physiology or Medicine,Man,
Hannes Alfvén,1970,Sweden,Sweden,Physics,Man,
Hans Adolf Krebs,1953,Germany,Germany,Physiology or Medicine,Man,
Hans Adolf Krebs,1953,United Kingdom,"Germany, United Kingdom",Physiology or Medicine,Man, born in Germany
Hans Bethe,1967,Germany,Germany,Physics,Man,
Hans Bethe,1967,United States,"Germany, United States",Physics,Man," born in then Germany,  now France"
Hans Fischer,1930,Germany,Germany,Chemistry,Man,
Hans G. Dehmelt,1989,Germany,Germany,Physics,Man,
Hans G. Dehmelt,1989,United States,"Germany, United States",Physics,Man, born in Germany
Hans Spemann,1935,Germany,Germany,Physiology or Medicine,Man,
Hans von Euler-Chelpin,1929,Germany,Germany,Chemistry,Man,
Hans von Euler-Chelpin,1929,Sweden,"Germany, Sweden",Chemistry,Man, born in Germany
Har Gobind Khorana,1968,India,India,Physiology or Medicine,Man,
Har Gobind Khorana,1968,United States,"India, United States",Physiology or Medicine,Man, born in India
Harald zur Hausen,2008,Germany,Germany,Physiology or Medicine,Man,
Harold C. Urey,1934,United States,United States,Chemistry,Man,
Harold E. Varmus,1989,United States,United States,Physiology or Medicine,Man,
Harold Kroto,1996,United Kingdom,United Kingdom,Chemistry,Man,
Harold Pinter,2005,United Kingdom,United Kingdom,Literature,Man,
Harry M. Markowitz,1990,United States,United States,Economics,Man,
Harry Martinson,1974,Sweden,Sweden,Literature,Man,
Hartmut Michel,1988,Germany,Germany,Chemistry,Man,
Heike Kamerlingh Onnes,1913,Netherlands,Netherlands,Physics,Man,
Heinrich Böll,1972,Germany,Germany,Literature,Man,
Heinrich Otto Wieland,1927,Germany,Germany,Chemistry,Man,
Heinrich Rohrer,1986,Switzerland,Switzerland,Physics,Man,
Hendrik Lorentz,1902,Netherlands,Netherlands,Physics,Man,
Henri Bergson,1927,France,France,Literature,Man,
Henri La Fontaine,1913,Belgium,Belgium,Peace,Man,
Henri Moissan,1906,France,France,Chemistry,Man,
Henrik Dam,1943,Denmark,Denmark,Physiology or Medicine,Man,
Henrik Pontoppidan,1917,Denmark,Denmark,Literature,Man,
Henry Dunant,1901,Switzerland,Switzerland,Peace,Man,
Henry Hallett Dale,1936,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Henry Kissinger,1973,United States,United States,Peace,Man, born in Germany
Henry Kissinger,1978,Germany,Germany,Peace,Man,
Henry Taube,1983,Canada,Canada,Chemistry,Man,
Henry Taube,1983,United States,"Canada, United States",Chemistry,Man, born in Canada
Henry W. Kendall,1990,United States,United States,Physics,Man,
Henryk Sienkiewicz,1905,Poland,Poland,Literature,Man, born in Congress Poland (Russian Empire)
Henryk Sienkiewicz,1905,Russia and Soviet Union,"Poland, Russia and Soviet Union",Literature,Man, born in Congress Poland (Russian Empire)
Herbert A. Hauptman,1985,United States,United States,Chemistry,Man,
Herbert A. Simon,1978,United States,United States,Economics,Man,
Herbert C. Brown,1979,United States,United States,Chemistry,Man, born in the United Kingdom
Herbert Kroemer,2000,Germany,Germany,Physics,Man,
Herbert S. Gasser,1944,United States,United States,Physiology or Medicine,Man,
Hermann Emil Fischer,1902,Germany,Germany,Chemistry,Man,
Hermann Hesse,1946,Germany,Germany,Literature,Man,
Hermann Hesse,1946,Switzerland,"Germany, Switzerland",Literature,Man, born in Germany
Hermann J. Muller,1946,United States,United States,Physiology or Medicine,Man,
Hermann Staudinger,1953,Germany,Germany,Chemistry,Man,
Herta Müller,2009,Germany,Germany,Literature,Woman,"Born in Romania, worked in Germany"
Herta Müller,2009,Romania,"Germany, Romania",Literature,Woman,"Born in Romania, worked in Germany"
Hideki Shirakawa,2000,Japan,Japan,Chemistry,Man,
Hideki Yukawa,1949,Japan,Japan,Physics,Man,
Hiroshi Amano,2014,Japan,Japan,Physics,Man,
Hjalmar Branting,1921,Sweden,Sweden,Peace,Man,
Horst L. Störmer,1998,Germany,Germany,Physics,Man,
Horst Ludwig Störmer,1998,United States,United States,Physics,Man, born in Germany
Howard Florey,1945,Australia,Australia,Physiology or Medicine,Man,
Howard Martin Temin,1975,United States,United States,Physiology or Medicine,Man,
Hugo Theorell,1955,Sweden,Sweden,Physiology or Medicine,Man,
Igor Tamm,1958,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,
Ilya Ilyich Mechnikov,1908,Ukraine,Ukraine,Physiology or Medicine,Man,
Ilya Mikhailovich Frank,1958,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,
Ilya Prigogine,1977,Belgium,Belgium,Chemistry,Man, born in Russia
Ilya Prigogine,1977,Russia and Soviet Union,"Belgium, Russia and Soviet Union",Chemistry,Man,
Imre Kertész,2002,Hungary,Hungary,Literature,Man,
Institut de Droit International,1904,Belgium,Belgium,Peace,Organization,
International Atomic Energy Agency,2005,Austria,Austria,Peace,Organization,
Irène Joliot-Curie,1935,France,France,Chemistry,Woman,
Irving Langmuir,1932,United States,United States,Chemistry,Man,
Irwin Rose,2004,United States,United States,Chemistry,Man,
Isaac Bashevis Singer,1978,Poland,Poland,Literature,Man, born in Congress Poland (Russian Empire)
Isaac Bashevis Singer,1978,United States,"Poland, United States",Literature,Man," born in then Russian Empire,  now Poland"
Isamu Akasaki,2014,Japan,Japan,Physics,Man,
Isidor Isaac Rabi,1944,Poland,Poland,Physics,Man," born in Rymanów,  Austria-Hungary (now in Poland)"
Isidor Isaac Rabi,1944,United States,"Poland, United States",Physics,Man, born in Austria
Ivan Bunin,1933,France,France,Literature,Man, born in Russia
Ivan Bunin,1933,Russia and Soviet Union,"France, Russia and Soviet Union",Literature,Man,
Ivan Pavlov,1904,Russia and Soviet Union,Russia and Soviet Union,Physiology or Medicine,Man,
Ivar Giaever,1973,Norway,Norway,Physics,Man,
Ivar Giaever,1973,United States,"Norway, United States",Physics,Man, Norway
Ivo Andrić,1961,Bosnia and Herzegovina,Bosnia and Herzegovina,Literature,Man," Ethnic Croat and national born in Condominium of Bosnia and Herzegovina,  Austro-Hungarian Empire (now Bosnia and Herzegovina)"
J. Georg Bednorz,1987,Germany,Germany,Physics,Man,
J. Hans D. Jensen,1963,Germany,Germany,Physics,Man,
J. J. Thomson,1906,United Kingdom,United Kingdom,Physics,Man,
J. M. Coetzee,2003,South Africa,South Africa,Literature,Man,
J. M. G. Le Clézio,2008,France,France,Literature,Man,
J. Michael Bishop,1989,United States,United States,Physiology or Medicine,Man,
J. Robin Warren,2005,Australia,Australia,Physiology or Medicine,Man,
Jacinto Benavente,1922,Spain,Spain,Literature,Man,
Jack Kilby,2000,United States,United States,Physics,Man,
Jack Steinberger,1988,Germany,Germany,Physics,Man,
Jack Steinberger,1988,United States,"Germany, United States",Physics,Man, born in Germany
Jack W. Szostak,2009,Canada,Canada,Physiology or Medicine,Man, born in the United Kingdom
Jack W. Szostak,2009,United States,"Canada, United States",Physiology or Medicine,Man, born in United Kingdom
Jacobus Henricus van 't Hoff,1901,Netherlands,Netherlands,Chemistry,Man,
Jacques Dubochet,2017,Switzerland,Switzerland,Chemistry,Man,
Jacques Monod,1965,France,France,Physiology or Medicine,Man,
James A. Mirrlees,1996,United Kingdom,United Kingdom,Economics,Man,
James Allison,2018,United States,United States,Physiology or Medicine,Man,
James B. Sumner,1946,United States,United States,Chemistry,Man,
James Chadwick,1935,United Kingdom,United Kingdom,Physics,Man,
James Cronin,1980,United States,United States,Physics,Man,
James D. Watson,1962,United States,United States,Physiology or Medicine,Man,
James Franck,1925,Germany,Germany,Physics,Man,
James J. Heckman,2000,United States,United States,Economics,Man,
James M. Buchanan,1986,United States,United States,Economics,Man,
James Meade,1977,United Kingdom,United Kingdom,Economics,Man,
James Rainwater,1975,United States,United States,Physics,Man,
James Rothman,2013,United States,United States,Physiology or Medicine,Man,
James Tobin,1981,United States,United States,Economics,Man,
James W. Black,1988,United Kingdom,United Kingdom,Physiology or Medicine,Man,
Jan Tinbergen,1969,Netherlands,Netherlands,Economics,Man,
Jane Addams,1931,United States,United States,Peace,Woman,
Jaroslav Heyrovský,1959,Czech Republic,Czech Republic,Chemistry,Man," born in Prague,  Austria-Hungary,  now Czech Republic"
Jaroslav Seifert,1984,Czech Republic,Czech Republic,Literature,Man," born in Prague,  Austria-Hungary,  now Czech Republic"
Jean Baptiste Perrin,1926,France,France,Physics,Man,
Jean Dausset,1980,France,France,Physiology or Medicine,Man,
Jean Tirole,2014,France,France,Economics,Man,
Jean-Marie Lehn,1987,France,France,Chemistry,Man,
Jean-Paul Sartre,1964,France,France,Literature,Man,(declined the prize)
Jean-Pierre Sauvage,2016,France,France,Chemistry,Man,
Jeffrey C. Hall,2017,United States,United States,Physiology or Medicine,Man,
Jens Christian Skou,1997,Denmark,Denmark,Chemistry,Man,
Jerome I. Friedman,1990,United States,United States,Physics,Man,
Jerome Karle,1985,United States,United States,Chemistry,Man,
Jim Peebles,2019,Canada,Canada,Physics,Man,
Jim Peebles,2019,United States,"Canada, United States",Physics,Man, born in Canada
Jimmy Carter,2002,United States,United States,Peace,Man,
Joachim Frank,2017,Germany,Germany,Chemistry,Man,
Joachim Frank,2017,United States,"Germany, United States",Chemistry,Man, born in Germany
Jody Williams,1997,United States,United States,Peace,Woman,
Johann Deisenhofer,1988,Germany,Germany,Chemistry,Man,
Johannes Diderik van der Waals,1910,Netherlands,Netherlands,Physics,Man,
Johannes Fibiger,1926,Denmark,Denmark,Physiology or Medicine,Man,
Johannes Stark,1919,Germany,Germany,Physics,Man,
Johannes V. Jensen,1944,Denmark,Denmark,Literature,Man,
John B. Goodenough,2019,United States,United States,Chemistry,Man, born in Germany
John B. Gurdon,2012,United Kingdom,United Kingdom,Physiology or Medicine,Man,
John Bardeen,1956,United States,United States,Physics,Man,
John Bardeen,1972,United States,United States,Physics,Man,
John Bennett Fenn,2002,United States,United States,Chemistry,Man,
John Boyd Orr,1949,United Kingdom,United Kingdom,Peace,Man,
John C. Mather,2006,United States,United States,Physics,Man,
John Carew Eccles,1963,Australia,Australia,Physiology or Medicine,Man,
John Cockcroft,1951,United Kingdom,United Kingdom,Physics,Man,
John Cornforth,1975,Australia,Australia,Chemistry,Man,
John Cornforth,1975,United Kingdom,"Australia, United Kingdom",Chemistry,Man, born in Australia
John E. Sulston,2002,United Kingdom,United Kingdom,Physiology or Medicine,Man,
John E. Walker,1997,United Kingdom,United Kingdom,Chemistry,Man,
John F. Enders,1954,United States,United States,Physiology or Medicine,Man,
John Forbes Nash,1994,United States,United States,Economics,Man,
John Galsworthy,1932,United Kingdom,United Kingdom,Literature,Man,
John H. Northrop,1946,United States,United States,Chemistry,Man,
John H. van Vleck,1977,United States,United States,Physics,Man,
John Harsanyi,1994,Hungary,Hungary,Economics,Man,
John Harsanyi,1994,United States,"Hungary, United States",Economics,Man, born in Hungary
John Hicks,1972,United Kingdom,United Kingdom,Economics,Man,
John Hume,1998,Ireland,Ireland,Peace,Man,
John James Rickard Macleod,1923,Canada,Canada,Physiology or Medicine,Man, born in the United Kingdom of Great Britain and Ireland
John James Rickard Macleod,1923,United Kingdom,"Canada, United Kingdom",Physiology or Medicine,Man,
John Kendrew,1962,United Kingdom,United Kingdom,Chemistry,Man,
John L. Hall,2005,United States,United States,Physics,Man,
John M. Kosterlitz,2016,United Kingdom,United Kingdom,Physics,Man,
John M. Kosterlitz,2016,United States,"United Kingdom, United States",Physics,Man, born in United Kingdom
John O'Keefe,2014,United Kingdom,United Kingdom,Physiology or Medicine,Man, born in the United States
John O'Keefe,2014,United States,"United Kingdom, United States",Physiology or Medicine,Man,
John Polanyi,1986,Canada,Canada,Chemistry,Man, born in Germany
John Polanyi,1986,Germany,"Canada, Germany",Chemistry,Man,
John Polanyi,1986,Hungary,"Canada, Germany, Hungary",Chemistry,Man, born in Germany
John Pople,1998,United Kingdom,United Kingdom,Chemistry,Man,
John R. Mott,1946,United States,United States,Peace,Man,
John Robert Vane,1982,United Kingdom,United Kingdom,Physiology or Medicine,Man,
John Steinbeck,1962,United States,United States,Literature,Man,
John Strutt,1904,United Kingdom,United Kingdom,Physics,Man, 3rd Baron Rayleigh
José de Sousa Saramago,1998,Portugal,Portugal,Literature,Man,
José Echegaray,1904,Spain,Spain,Literature,Man,
José Ramos-Horta,1996,East Timor,East Timor,Peace,Man,
José Ramos-Horta,1996,Portugal,"East Timor, Portugal",Peace,Man," born in then Portuguese Timor,  now East Timor"
Joseph Brodsky,1987,Russia and Soviet Union,Russia and Soviet Union,Literature,Man, born in Russia
Joseph Brodsky,1987,United States,"Russia and Soviet Union, United States",Literature,Man, born in Russia
Joseph E. Murray,1990,United States,United States,Physiology or Medicine,Man,
Joseph E. Stiglitz,2001,United States,United States,Economics,Man,
Joseph Erlanger,1944,United States,United States,Physiology or Medicine,Man,
Joseph H. Taylor Jr.,1993,United States,United States,Physics,Man,
Joseph L. Goldstein,1985,United States,United States,Physiology or Medicine,Man,
Joseph Rotblat,1995,Poland,Poland,Peace,Man, born in Congress Poland (Russian Empire)
Joseph Rotblat,1995,United Kingdom,"Poland, United Kingdom",Peace,Man," born in then Russian Empire,  now Poland"
Joshua Lederberg,1958,United States,United States,Physiology or Medicine,Man,
Juan Manuel Santos Calderón,2016,Colombia,Colombia,Peace,Man,
Juan Ramón Jiménez,1956,Spain,Spain,Literature,Man,
Jules A. Hoffmann,2011,France,France,Physiology or Medicine,Man, born in Luxembourg
Jules A. Hoffmann,2011,Luxembourg,"France, Luxembourg",Physiology or Medicine,Man,
Jules Bordet,1919,Belgium,Belgium,Physiology or Medicine,Man,
Julian Schwinger,1965,United States,United States,Physics,Man,
Julius Axelrod,1970,United States,United States,Physiology or Medicine,Man,
Julius Wagner-Jauregg,1927,Austria,Austria,Physiology or Medicine,Man,
K. Barry Sharpless,2001,United States,United States,Chemistry,Man,
Kai Siegbahn,1981,Sweden,Sweden,Physics,Man,
Kailash Satyarthi,2014,India,India,Peace,Man,
Karl Adolph Gjellerup,1917,Denmark,Denmark,Literature,Man,
Karl Alexander Müller,1987,Switzerland,Switzerland,Physics,Man,
Karl Ferdinand Braun,1909,Germany,Germany,Physics,Man,
Karl Landsteiner,1930,Austria,Austria,Physiology or Medicine,Man,
Karl Manne Siegbahn,1924,Sweden,Sweden,Physics,Man,
Karl von Frisch,1973,Austria,Austria,Physiology or Medicine,Man,
Karl von Frisch,1973,Germany,"Austria, Germany",Physiology or Medicine,Man," born in Austria-Hungary,  now Austria"
Karl Ziegler,1963,Germany,Germany,Chemistry,Man,
Kary B. Mullis,1993,United States,United States,Chemistry,Man,
Kazuo Ishiguro,2017,Japan,Japan,Literature,Man,
Kazuo Ishiguro,2017,United Kingdom,"Japan, United Kingdom",Literature,Man, born in Japan
Kenichi Fukui,1981,Japan,Japan,Chemistry,Man,
Kenneth G. Wilson,1982,United States,United States,Physics,Man,
Kenneth J. Arrow,1972,United States,United States,Economics,Man,
Kenzaburō Ōe,1994,Japan,Japan,Literature,Man,
Kim Dae-jung,2000,South Korea,South Korea,Peace,Man,
Kip Thorne,2017,United States,United States,Physics,Man,
Klas Pontus Arnoldson,1908,Sweden,Sweden,Peace,Man,
Klaus von Klitzing,1985,Germany,Germany,Physics,Man,
Knut Hamsun,1920,Norway,Norway,Literature,Man,
Kofi Annan,2001,Ghana,Ghana,Peace,Man,
Koichi Tanaka,2002,Japan,Japan,Chemistry,Man,
Konrad Bloch,1964,Germany,Germany,Physiology or Medicine,Man,
Konrad Bloch,1964,United States,"Germany, United States",Physiology or Medicine,Man," born in then Germany,  now Poland"
Konrad Lorenz,1973,Austria,Austria,Physiology or Medicine,Man,
Konstantin Novoselov,2010,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,
Konstantin Novoselov,2010,United Kingdom,"Russia and Soviet Union, United Kingdom",Physics,Man, born in Russia
Kurt Alder,1950,Germany,Germany,Chemistry,Man,
Kurt Wüthrich,2002,Switzerland,Switzerland,Chemistry,Man,
Lars Onsager,1968,Norway,Norway,Chemistry,Man,
Lars Onsager,1968,United States,"Norway, United States",Chemistry,Man, born in Norway
Lars Peter Hansen,2013,United States,United States,Economics,Man,
Lawrence R. Klein,1980,United States,United States,Economics,Man,
Lê Đức Thọ,1973,Vietnam,Vietnam,Peace,Man," born in French Indochina, (declined)"
Lech Wałęsa,1983,Poland,Poland,Peace,Man," born in Popowo,  Reichsgau Danzig-West Prussia,  Germany (today in Poland)"
Leland H. Hartwell,2001,United States,United States,Physiology or Medicine,Man,
Leo Esaki,1973,Japan,Japan,Physics,Man,
Léon Bourgeois,1920,France,France,Peace,Man,
Léon Jouhaux,1951,France,France,Peace,Man,
Leon M. Lederman,1988,United States,United States,Physics,Man,
Leon N. Cooper,1972,United States,United States,Physics,Man,
Leonid Hurwicz,2007,Poland,Poland,Economics,Man, born in then Russian Republic (now Russia)
Leonid Hurwicz,2007,Russia and Soviet Union,"Poland, Russia and Soviet Union",Economics,Man,
Leonid Hurwicz,2007,United States,"Poland, Russia and Soviet Union, United States",Economics,Man, born in Russia
Leonid Kantorovich,1975,Russia and Soviet Union,Russia and Soviet Union,Economics,Man,
Leopold Ružička,1939,Croatia,Croatia,Chemistry,Man," Ethnic Croat and national born in the Kingdom of Croatia-Slavonia,  Austro-Hungarian Empire (now Croatia)"
Leopold Ružička,1939,Switzerland,"Croatia, Switzerland",Chemistry,Man," born in Kingdom of Croatia-Slavonia,  Austria-Hungary,  now Croatia"
Lester B. Pearson,1957,Canada,Canada,Peace,Man,
Lev Landau,1962,Russia and Soviet Union,Russia and Soviet Union,Physics,Man," born in then Russian Empire,  now Azerbaijan,  laureate when citizen of the Soviet Union"
Leymah Gbowee,2011,Liberia,Liberia,Peace,Woman,
Linda B. Buck,2004,United States,United States,Physiology or Medicine,Woman,
Linus C. Pauling,1954,United States,United States,Chemistry,Man,
Linus C. Pauling,1962,United States,United States,Peace,Man,
Liu Xiaobo,2010,"China, People's Republic of","China, People's Republic of",Peace,Man,
Lloyd S. Shapley,2012,United States,United States,Economics,Man,
Louis de Broglie,1929,France,France,Physics,Man,
Louis J. Ignarro,1998,United States,United States,Physiology or Medicine,Man,
Louis Néel,1970,France,France,Physics,Man,
Louis Renault,1907,France,France,Peace,Man,
Luc Montagnier,2008,France,France,Physiology or Medicine,Man,
Ludwig Quidde,1927,Germany,Germany,Peace,Man,
Luigi Pirandello,1934,Italy,Italy,Literature,Man,
Luis Alvarez,1968,United States,United States,Physics,Man,
Luis Federico Leloir,1970,Argentina,Argentina,Chemistry,Man,
Luis Federico Leloir,1970,France,"Argentina, France",Chemistry,Man,
M. Stanley Whittingham,2019,United Kingdom,United Kingdom,Chemistry,Man,
M. Stanley Whittingham,2019,United States,"United Kingdom, United States",Chemistry,Man, born in United Kingdom
Mairead Maguire,1976,Ireland,Ireland,Peace,Woman,"Born in North Ireland, part of the UK"
Mairead Maguire,1976,United Kingdom,"Ireland, United Kingdom",Peace,Woman,"Born in North Ireland, part of the UK"
Makoto Kobayashi,2008,Japan,Japan,Physics,Man,
Malala Yousafzai,2014,Pakistan,Pakistan,Peace,Woman,
Manfred Eigen,1967,Germany,Germany,Chemistry,Man,
Maria Goeppert-Mayer,1963,Germany,Germany,Physics,Woman,"Born in then Germany, worked in the US"
Maria Goeppert-Mayer,1963,United States,"Germany, United States",Physics,Woman,"Born in then Germany, worked in the US"
Marie Skłodowska-Curie,1903,France,France,Physics,Woman,"Born in Congress Poland, worked in France"
Marie Skłodowska-Curie,1903,Poland,"France, Poland",Physics,Woman,"Born in Congress Poland, worked in France"
Marie Skłodowska-Curie,1911,France,France,Chemistry,Woman,"Born in Congress Poland, worked in France"
Marie Skłodowska-Curie,1911,Poland,"France, Poland",Chemistry,Woman,"Born in Congress Poland, worked in France"
Mario J. Molina,1995,United States,United States,Chemistry,Man, born in Mexico
Mario J. Molina,1995,Mexico,"United States, Mexico",Chemistry,Man,
Mario R. Capecchi,2007,Italy,Italy,Physiology or Medicine,Man,
Mario R. Capecchi,2007,United States,"Italy, United States",Physiology or Medicine,Man, born in Italy
Mario Vargas Llosa,2010,Peru,Peru,Literature,Man,
Mario Vargas Llosa,2010,Spain,"Peru, Spain",Literature,Man, born in Peru
Marshall Warren Nirenberg,1968,United States,United States,Physiology or Medicine,Man,
Martin Chalfie,2008,United States,United States,Chemistry,Man,
Martin Karplus,2013,Austria,Austria,Chemistry,Man,
Martin Karplus,2013,United States,"Austria, United States",Chemistry,Man, born in Austria
Martin L. Perl,1995,United States,United States,Physics,Man,
Martin Luther King Jr.,1964,United States,United States,Peace,Man,
Martin Rodbell,1994,United States,United States,Physiology or Medicine,Man,
Martin Ryle,1974,United Kingdom,United Kingdom,Physics,Man,
Martinus J. G. Veltman,1999,Netherlands,Netherlands,Physics,Man,
Martti Ahtisaari,2008,Finland,Finland,Peace,Man,
Masatoshi Koshiba,2002,Japan,Japan,Physics,Man,
Maurice Allais,1988,France,France,Economics,Man,
Maurice Maeterlinck,1911,Belgium,Belgium,Literature,Man,
Maurice Wilkins,1962,New Zealand,New Zealand,Physiology or Medicine,Man,
Maurice Wilkins,1962,United Kingdom,"New Zealand, United Kingdom",Physiology or Medicine,Man, born in New Zealand
Max Born,1954,Germany,Germany,Physics,Man,
Max Born,1954,United Kingdom,"Germany, United Kingdom",Physics,Man," born in then Germany,  now Poland"
Max Delbrück,1969,Germany,Germany,Physiology or Medicine,Man,
Max Delbrück,1969,United States,"Germany, United States",Physiology or Medicine,Man, born in Germany
Max Karl Ernst Ludwig Planck,1918,Germany,Germany,Physics,Man,
Max Perutz,1962,Austria,Austria,Chemistry,Man,
Max Perutz,1962,United Kingdom,"Austria, United Kingdom",Chemistry,Man, born in Austria
Max Theiler,1951,South Africa,South Africa,Physiology or Medicine,Man,
Max von Laue,1914,Germany,Germany,Physics,Man,
May-Britt Moser,2014,Norway,Norway,Physiology or Medicine,Woman,
Médecins Sans Frontières,1999,France,France,Peace,Organization,
Melvin Calvin,1961,United States,United States,Chemistry,Man,
Melvin Schwartz,1988,United States,United States,Physics,Man,
Menachem Begin,1978,Israel,Israel,Peace,Man," born in Russia,  now Belarus"
Menachem Begin,1978,Poland,"Israel, Poland",Peace,Man," as an Israeli citizen,  he also had Polish citizenship"
Menachem Begin,1978,Russia and Soviet Union,"Israel, Poland, Russia and Soviet Union",Peace,Man, as an Israeli citizen
Merton H. Miller,1990,United States,United States,Economics,Man,
Michael Kremer,2019,United States,United States,Economics,Man,
Michael Levitt,2013,Israel,Israel,Chemistry,Man, born in South Africa
Michael Levitt,2013,South Africa,"Israel, South Africa",Chemistry,Man,
Michael Levitt,2013,United Kingdom,"Israel, South Africa, United Kingdom",Chemistry,Man, born in South Africa
Michael Levitt,2013,United States,"Israel, South Africa, United Kingdom, United States",Chemistry,Man, born in South Africa
Michael Rosbash,2017,United States,United States,Physiology or Medicine,Man,
Michael S. Brown,1985,United States,United States,Physiology or Medicine,Man,
Michael Smith,1993,Canada,Canada,Chemistry,Man, born in the United Kingdom
Michael Smith,1993,United Kingdom,"Canada, United Kingdom",Chemistry,Man,
Michael W. Young,2017,United States,United States,Physiology or Medicine,Man,
Michel Mayor,2019,Switzerland,Switzerland,Physics,Man,
Miguel Ángel Asturias,1967,Guatemala,Guatemala,Literature,Man,
Mikhail Gorbachev,1990,Russia and Soviet Union,Russia and Soviet Union,Peace,Man,
Mikhail Sholokhov,1965,Russia and Soviet Union,Russia and Soviet Union,Literature,Man,
Milton Friedman,1976,United States,United States,Economics,Man,
Mo Yan,2012,"China, People's Republic of","China, People's Republic of",Literature,Man,
Mohamed ElBaradei,2005,Egypt,Egypt,Peace,Man,
Mother Teresa,1979,India,India,Peace,Woman,"Born in then Ottoman Empire (now North Macedonia), worked in India"
Mother Teresa,1979,North Macedonia,"India, North Macedonia",Peace,Woman,"Born in then Ottoman Empire (now North Macedonia), worked in India"
Muhammad Yunus,2006,Bangladesh,Bangladesh,Peace,Man,
Murray Gell-Mann,1969,United States,United States,Physics,Man,
Myron Scholes,1997,Canada,Canada,Economics,Man,
Myron Scholes,1997,United States,"Canada, United States",Economics,Man, born in Canada
Nadia Murad,2018,Iraq,Iraq,Peace,Woman,
Nadine Gordimer,1991,South Africa,South Africa,Literature,Woman,
Naguib Mahfouz,1988,Egypt,Egypt,Literature,Man,
Nathan Söderblom,1930,Sweden,Sweden,Peace,Man,
Nelly Sachs,1966,Germany,Germany,Literature,Woman,"Born in Germany, worked in Sweden"
Nelly Sachs,1966,Sweden,"Germany, Sweden",Literature,Woman,"Born in Germany, worked in Sweden"
Nelson Mandela,1993,South Africa,South Africa,Peace,Man,
Nevill Francis Mott,1977,United Kingdom,United Kingdom,Physics,Man,
Nicholas M. Butler,1931,United States,United States,Peace,Man,
Nicolaas Bloembergen,1981,Netherlands,Netherlands,Physics,Man,
Nicolaas Bloembergen,1981,United States,"Netherlands, United States",Physics,Man, born in the Netherlands
Niels Bohr,1922,Denmark,Denmark,Physics,Man,
Niels Kaj Jerne,1984,Denmark,Denmark,Physiology or Medicine,Man, born in United Kingdom
Niels Kaj Jerne,1984,United Kingdom,"Denmark, United Kingdom",Physiology or Medicine,Man,
Niels Ryberg Finsen,1903,Denmark,Denmark,Physiology or Medicine,Man, born in Faroe Islands
Niels Ryberg Finsen,1903,Faroe Islands,"Denmark, Faroe Islands",Physiology or Medicine,Man,
Nikolaas Tinbergen,1973,Netherlands,Netherlands,Physiology or Medicine,Man,
Nikolaas Tinbergen,1973,United Kingdom,"Netherlands, United Kingdom",Physiology or Medicine,Man, born in the Netherlands
Nikolay Basov,1964,Russia and Soviet Union,Russia and Soviet Union,Physics,Man,
Nikolay Semyonov,1956,Russia and Soviet Union,Russia and Soviet Union,Chemistry,Man,
Norman Angell,1933,United Kingdom,United Kingdom,Peace,Man,
Norman Borlaug,1970,United States,United States,Peace,Man,
Norman F. Ramsey,1989,United States,United States,Physics,Man,
Norman Haworth,1937,United Kingdom,United Kingdom,Chemistry,Man,
